Archivo,Bib_Corredor,Club / Jersey,Gadgets_Detectados,Nivel_Emocion
691038945_122224086902582925_3780286705869214026_n.jpg,No detectado,Genérico / Independiente,A smartwatch,Alta Energía / Positiva
691038945_122224086902582925_3780286705869214026_n.jpg,No detectado,Genérico / Independiente,Headphones,Alta Energía / Positiva
697792951_122184315548592376_8089216452265477921_n.jpg,No detectado,Genérico / Independiente,Sports sunglasses,Concentrado
697792951_122184315548592376_8089216452265477921_n.jpg,No detectado,Genérico / Independiente,A smartwatch,Alta Energía / Positiva
697105160_122184318026592376_2420902306556191715_n.jpg,No detectado,Genérico / Independiente,A smartwatch,Concentrado
697105160_122184318026592376_2420902306556191715_n.jpg,No detectado,Genérico / Independiente,Sports sunglasses,Concentrado
697105160_122184318026592376_2420902306556191715_n.jpg,No detectado,Genérico / Independiente,A smartwatch,Alta Energía / Positiva
697105160_122184318026592376_2420902306556191715_n.jpg,No detectado,Genérico / Independiente,A smartwatch,Agotado
697105160_122184318026592376_2420902306556191715_n.jpg,No detectado,Genérico / Independiente,A smartwatch,Concentrado
689023144_122224088114582925_4025506362255520709_n.jpg,No detectado,Genérico / Independiente,Headphones,Concentrado
689023144_122224088114582925_4025506362255520709_n.jpg,No detectado,Genérico / Independiente,Headphones,Agotado
689023144_122224088114582925_4025506362255520709_n.jpg,No detectado,Genérico / Independiente,A smartwatch,Concentrado
689023144_122224088114582925_4025506362255520709_n.jpg,No detectado,Genérico / Independiente,A smartwatch,Concentrado
689023144_122224088114582925_4025506362255520709_n.jpg,915,Genérico / Independiente,A smartwatch,Concentrado
696523190_122224090502582925_1031375221435254398_n.jpg,1851,Genérico / Independiente,Headphones,Concentrado
696523190_122224090502582925_1031375221435254398_n.jpg,No detectado,Genérico / Independiente,A smartwatch,Agotado
696523190_122224090502582925_1031375221435254398_n.jpg,50,Genérico / Independiente,A smartwatch,Concentrado
696523190_122224090502582925_1031375221435254398_n.jpg,No detectado,Genérico / Independiente,Headphones,Concentrado
696523190_122224090502582925_1031375221435254398_n.jpg,112,Genérico / Independiente,A smartwatch,Alta Energía / Positiva
696523190_122224090502582925_1031375221435254398_n.jpg,2252,Genérico / Independiente,A smartwatch,Agotado
696523190_122224090502582925_1031375221435254398_n.jpg,No detectado,Genérico / Independiente,Headphones,Concentrado
696523190_122224090502582925_1031375221435254398_n.jpg,504,Genérico / Independiente,A smartwatch,Alta Energía / Positiva
689027026_122224090394582925_9190174961021740541_n.jpg,135,Genérico / Independiente,A smartwatch,Alta Energía / Positiva
689027026_122224090394582925_9190174961021740541_n.jpg,1896,Genérico / Independiente,A smartwatch,Concentrado
689027026_122224090394582925_9190174961021740541_n.jpg,No detectado,Genérico / Independiente,A smartwatch,Agotado
689027026_122224090394582925_9190174961021740541_n.jpg,651,Genérico / Independiente,A smartwatch,Concentrado
689027026_122224090394582925_9190174961021740541_n.jpg,1041,Genérico / Independiente,A smartwatch,Agotado
689027026_122224090394582925_9190174961021740541_n.jpg,No detectado,Genérico / Independiente,A smartwatch,Agotado
689027026_122224090394582925_9190174961021740541_n.jpg,13,Genérico / Independiente,A smartwatch,Alta Energía / Positiva
689027026_122224090394582925_9190174961021740541_n.jpg,No detectado,Genérico / Independiente,A smartwatch,Alta Energía / Positiva
689027026_122224090394582925_9190174961021740541_n.jpg,No detectado,Genérico / Independiente,A smartwatch,Alta Energía / Positiva
689027026_122224090394582925_9190174961021740541_n.jpg,No detectado,Genérico / Independiente,A smartwatch,Agotado
697096573_122184316376592376_8897316898589576521_n.jpg,1601,Genérico / Independiente,A smartwatch,Agotado
697096573_122184316376592376_8897316898589576521_n.jpg,1460,Genérico / Independiente,A smartwatch,Concentrado
697096573_122184316376592376_8897316898589576521_n.jpg,406,Genérico / Independiente,A smartwatch,Concentrado
